customer_id,recency,frequency,monetary,segment
96,1,5,267286,VIP
98,48,1,72462,Regular
99,21,3,114014,Regular
100,1,8,611162,VIP
101,93,3,299166,At Risk
102,40,13,735750,Regular
103,211,1,24083,At Risk
104,19,8,627500,VIP
105,352,1,82710,At Risk
106,103,4,219125,At Risk
107,80,2,104656,Regular
108,138,4,116930,At Risk
109,9,7,344097,VIP
110,98,1,97230,At Risk
111,38,5,271722,Regular
112,61,2,92808,Regular
113,44,8,437122,Regular
114,97,4,156088,At Risk
115,184,2,73428,At Risk
116,33,7,529188,Regular
117,20,4,147246,Regular
118,151,3,210152,At Risk
119,219,1,126900,At Risk
120,51,5,151642,Regular
121,1,4,240466,Regular
122,1,5,277460,VIP
123,131,1,28514,At Risk
124,67,2,76029,Regular
125,55,3,156994,Regular
126,115,5,188973,At Risk
127,8,3,155380,Regular
128,127,3,117942,At Risk
129,31,3,290181,Regular
130,56,3,158419,Regular
131,122,3,163099,At Risk
132,222,3,130513,At Risk
133,73,4,124449,Regular
134,153,3,181813,At Risk
135,274,2,162023,At Risk
136,102,2,108122,At Risk
137,22,3,211568,Regular
138,57,4,229496,Regular
139,2,1,97269,Regular
141,77,3,144738,Regular
142,20,3,188434,Regular
143,138,5,307597,At Risk
144,83,2,103210,Regular
145,248,3,193393,At Risk
146,41,2,109994,Regular
147,13,5,297131,VIP
148,186,2,130300,At Risk
149,1,8,354835,VIP
150,127,3,250304,At Risk
151,43,3,211260,Regular
152,61,2,145308,Regular
153,11,4,164452,Regular
154,29,2,84369,Regular
155,25,4,288616,Regular
156,24,4,239026,Regular
157,68,2,73120,Regular
158,133,4,230545,At Risk
159,102,2,53673,At Risk
160,26,5,327154,VIP
161,261,2,72161,At Risk
162,63,4,249470,Regular
163,17,2,95108,Regular
164,93,6,285577,At Risk
165,102,2,56427,At Risk
166,67,4,173171,Regular
167,189,2,86463,At Risk
168,78,2,86697,Regular
169,89,1,56948,Regular
170,174,2,104840,At Risk
171,3,4,278432,Regular
172,5,2,127728,Regular
173,40,6,306337,Regular
174,187,3,172990,At Risk
175,141,7,424229,At Risk
176,143,3,75997,At Risk
177,117,1,65583,At Risk
178,93,4,166178,At Risk
179,84,3,317426,Regular
181,48,7,347780,Regular
182,63,3,179454,Regular
183,36,4,252807,Regular
184,229,2,106273,At Risk
185,32,1,106356,Regular
186,25,3,145255,Regular
187,165,2,85087,At Risk
188,26,10,575723,VIP
189,12,3,149472,Regular
190,45,4,239944,Regular
191,26,5,438413,VIP
192,26,6,154799,VIP
193,84,1,31312,Regular
194,31,1,110444,Regular
195,221,2,69452,At Risk
196,25,6,316928,VIP
197,97,1,60632,At Risk
198,202,2,23857,At Risk
199,151,2,122990,At Risk
200,62,1,33781,Regular
201,36,7,301983,Regular
203,25,3,171673,Regular
204,117,1,41946,At Risk
205,154,3,122877,At Risk
207,99,3,196321,At Risk
208,31,4,302442,Regular
209,88,4,272114,Regular
210,31,6,271831,Regular
211,24,5,343561,VIP
212,6,1,20409,Regular
213,43,7,408847,Regular
214,73,3,64123,Regular
215,17,4,112735,Regular
216,137,4,215466,At Risk
217,253,1,30375,At Risk
218,100,4,284599,At Risk
219,361,1,48512,At Risk
220,36,7,408479,Regular
221,151,4,142788,At Risk
222,75,4,334961,Regular
223,285,1,50796,At Risk
224,6,3,122866,Regular
225,26,2,158593,Regular
226,2,5,240453,VIP
227,5,6,316761,VIP
228,14,4,219318,Regular
229,119,3,140459,At Risk
230,146,3,104131,At Risk
231,82,2,220544,Regular
232,194,4,274919,At Risk
233,225,1,50319,At Risk
234,15,1,105384,Regular
235,105,5,214665,At Risk
237,74,4,251385,Regular
238,135,2,89878,At Risk
239,61,5,325164,Regular
240,18,2,203440,Regular
241,40,5,208915,Regular
242,109,7,279790,At Risk
243,144,5,313543,At Risk
245,8,4,174446,Regular
246,60,3,159771,Regular
247,165,3,176487,At Risk
248,34,6,313477,Regular
249,212,2,104924,At Risk
250,51,3,96287,Regular
251,201,3,129517,At Risk
252,223,4,220069,At Risk
253,24,3,135029,Regular
254,139,3,59059,At Risk
255,104,2,137975,At Risk
256,327,2,139063,At Risk
257,91,2,75423,At Risk
258,16,4,213067,Regular
259,171,2,85693,At Risk
260,22,5,189166,VIP
261,113,2,84131,At Risk
262,50,5,193457,Regular
263,20,3,188402,Regular
264,23,2,73983,Regular
265,70,4,160874,Regular
266,192,4,233692,At Risk
267,191,2,148025,At Risk
268,120,6,331733,At Risk
269,169,2,152058,At Risk
270,168,1,31887,At Risk
271,55,7,349344,Regular
272,49,3,281156,Regular
273,1,3,235925,Regular
274,22,1,103532,Regular
275,2,4,229860,Regular
276,185,2,68395,At Risk
277,133,5,271267,At Risk
278,226,4,261781,At Risk
279,64,7,425194,Regular
280,17,1,32986,Regular
281,16,2,214624,Regular
282,29,4,298791,Regular
283,48,7,346343,Regular
284,96,3,207343,At Risk
285,137,3,195369,At Risk
286,91,3,195310,At Risk
287,70,2,163408,Regular
288,11,4,379039,Regular
289,2,4,193641,Regular
290,63,7,397214,Regular
291,184,4,285459,At Risk
292,45,4,301593,Regular
293,35,5,266021,Regular
294,1,5,268187,VIP
295,42,4,195727,Regular
297,125,2,153816,At Risk
298,62,3,138427,Regular
299,178,1,79468,At Risk
300,128,3,159230,At Risk
301,110,5,284295,At Risk
302,17,6,274401,VIP
303,107,3,118820,At Risk
304,49,5,219636,Regular
305,98,5,327587,At Risk
306,95,1,98211,At Risk
307,65,3,127633,Regular
308,102,4,144484,At Risk
309,223,1,21894,At Risk
310,116,5,175074,At Risk
311,115,3,97192,At Risk
312,364,1,100458,At Risk
313,55,7,563968,Regular
314,50,5,280260,Regular
315,222,3,143685,At Risk
316,143,5,273122,At Risk
317,7,3,305661,Regular
318,47,5,345480,Regular
319,77,5,227280,Regular
320,35,5,405972,Regular
321,5,5,338450,VIP
322,212,3,71566,At Risk
323,58,5,300641,Regular
324,17,7,358221,VIP
325,28,3,122352,Regular
326,37,3,171260,Regular
327,52,3,202027,Regular
328,20,7,442275,VIP
329,258,1,139740,At Risk
330,9,2,161300,Regular
331,126,2,133508,At Risk
332,48,6,293932,Regular
333,208,2,68799,At Risk
334,85,3,123980,Regular
335,77,4,262756,Regular
336,53,7,413225,Regular
337,54,3,149214,Regular
338,35,6,296985,Regular
339,151,3,178464,At Risk
340,27,7,389206,VIP
341,38,5,377097,Regular
342,49,2,82010,Regular
343,84,8,503008,Regular
344,39,3,130815,Regular
345,20,8,442898,VIP
346,77,3,221713,Regular
347,235,2,45591,At Risk
348,20,2,125681,Regular
349,19,2,163635,Regular
350,129,3,171280,At Risk
351,45,4,260906,Regular
352,60,6,361988,Regular
353,124,3,156488,At Risk
354,81,4,136812,Regular
355,17,3,176564,Regular
356,116,5,213128,At Risk
357,78,3,176825,Regular
358,53,3,83982,Regular
359,177,5,176568,At Risk
360,80,5,306384,Regular
361,48,4,307054,Regular
362,76,3,230647,Regular
363,101,3,180511,At Risk
364,17,9,421857,VIP
365,154,3,146087,At Risk
366,2,9,262407,VIP
367,1,1,40662,Regular
368,178,1,36690,At Risk
369,87,4,178001,Regular
370,83,6,304715,Regular
371,78,5,237817,Regular
372,70,2,156866,Regular
373,174,2,78311,At Risk
374,15,3,119654,Regular
375,18,5,301847,VIP
376,164,5,245281,At Risk
377,6,7,301770,VIP
378,75,5,274992,Regular
379,80,7,530427,Regular
380,109,7,467982,At Risk
381,176,3,160500,At Risk
382,271,4,194583,At Risk
383,96,7,460636,At Risk
384,208,5,417028,At Risk
385,18,3,152329,Regular
386,47,2,57322,Regular
387,175,8,428937,At Risk
388,248,3,153471,At Risk
389,53,4,308276,Regular
390,10,8,545958,VIP
391,135,3,168162,At Risk
392,27,4,267836,Regular
393,63,3,86710,Regular
394,293,3,165917,At Risk
395,127,2,133379,At Risk
397,120,4,285675,At Risk
398,176,2,115292,At Risk
399,28,5,381861,VIP
